ID,logFC,AveExpr,t,P.Value,adj.P.Value,B,label
CYP26B1,3.208234607,195.6693845,10.15415345,3.17554E-24,1.10605E-22,30,yes
SH2B3,3.202224881,1131.939547,17.28677159,5.9175E-67,4.89505E-65,30,yes
ENSSSCG00000004781,3.188606704,2242.35352,17.00254065,7.86367E-65,6.25613E-63,30,yes
SHH,-3.167168183,128.7863756,-9.183773198,4.16245E-20,1.24951E-18,30,yes
PAQR7,3.163724593,2020.827283,22.06627323,6.6665E-108,8.6659E-106,30,yes
EFNA4,-3.162322366,254.9554668,-11.08255791,1.52454E-28,5.9666E-27,30,yes
SEMA7A,3.150250977,2373.287795,22.03734105,1.2634E-107,1.6135E-105,30,yes
DLX1,3.125665176,410.4352052,13.82360377,1.83641E-43,1.00136E-41,30,yes
PML,3.117391137,1718.557515,14.02929789,1.03168E-44,5.73291E-43,30,yes
GREM1,3.116786292,13229.94639,24.2952841,2.1987E-130,3.5968E-128,30,yes
LRRC4C,3.116116589,79.94274358,7.428333551,1.09974E-13,2.55362E-12,30,yes
MMP15,-3.094362629,957.9388354,-16.76250091,4.58908E-63,3.57285E-61,30,yes
NEBL,-3.093852643,213.646194,-10.82041124,2.75538E-27,1.05567E-25,30,yes
MFSD14B,3.086473079,3516.261111,18.38870315,1.61804E-75,1.43641E-73,30,yes
DUSP6,3.050946947,4510.078387,23.8763002,5.4002E-126,8.454E-124,30,yes
ADAR,3.040154869,6080.107957,22.10645086,2.7399E-108,3.5937E-106,30,yes
TCEA3,-3.032692875,144.9095183,-9.258225685,2.07857E-20,6.29147E-19,30,yes
FCHO1,-3.032245237,272.1256389,-11.53572552,8.71493E-31,3.61483E-29,30,yes
MOV10,3.018599586,4541.960308,19.66110548,4.64495E-86,4.79615E-84,30,yes
DAXX,3.015403101,1973.062945,20.23086939,5.23714E-91,5.82042E-89,30,yes
SLC25A28,3.012436639,3159.836571,22.73460351,2.0381E-114,2.8531E-112,30,yes
DNAJC12,-3.011338478,182.9411189,-9.439907348,3.73109E-21,1.16319E-19,30,yes
FAS,2.997836405,507.8493396,14.5424238,6.52411E-48,3.89281E-46,30,yes
GJB1,-2.994633616,88.93200332,-6.962045112,3.35368E-12,7.32028E-11,30,yes
TCIRG1,2.990863893,1787.949265,17.44572713,3.70967E-68,3.10397E-66,30,yes
CYR61,2.987389408,3374.954283,14.84860797,7.10283E-50,4.47662E-48,30,yes
SLC2A12,2.982839082,2435.16327,19.52520726,6.70444E-85,6.82587E-83,30,yes
CREM,2.956161407,762.7544481,14.20331557,8.73785E-46,5.00844E-44,30,yes
NRG1,2.953926981,317.4861573,11.90983931,1.0518E-32,4.55171E-31,30,yes
PPP1R3B,-2.944174056,307.7618355,-11.72017611,1.00463E-31,4.27672E-30,30,yes
PI15,-2.936851117,351.424582,-11.5502058,7.36439E-31,3.06337E-29,30,yes
ZC3H12C,2.933990368,9403.166388,19.62080195,1.0272E-85,1.05317E-83,30,yes
CNP,2.9331274,5357.765565,18.81610939,5.57296E-79,5.10294E-77,30,yes
ABCD4,2.932896348,269.6801119,9.852082682,6.71381E-23,2.24189E-21,30,yes
OLR1,2.914987909,590.5669971,15.08536341,2.02158E-51,1.31394E-49,30,yes
TNIP1,2.914521007,4375.621247,21.78043288,3.557E-105,4.4261E-103,30,yes
ENSSSCG00000003839,2.911042139,6345.817449,22.55092834,1.315E-112,1.7892E-110,30,yes
TFPI2,2.910510818,1006.514387,17.04178029,4.02297E-65,3.22132E-63,30,yes
ENSSSCG00000018050,-2.908967249,119.1669685,-7.608678774,2.76912E-14,6.63086E-13,30,yes
PPM1K,2.906320194,1350.642724,17.65417851,9.44986E-70,7.99887E-68,30,yes
ATF3,2.905820042,8524.401991,21.43911942,5.7695E-102,6.8851E-100,30,yes
EIF2AK2,2.905279588,11445.30273,22.03935017,1.2086E-107,1.5572E-105,30,yes
FAT2,-2.89128241,1176.816886,-16.63327553,4.0011E-62,3.08212E-60,30,yes
TRIM56,2.887705448,2712.81793,20.04264515,2.33996E-89,2.52352E-87,30,yes
FILIP1L,2.877339943,6059.420725,18.90668142,1.00485E-79,9.43844E-78,30,yes
DTX3L,2.875833783,6025.939774,20.21771221,6.83815E-91,7.54217E-89,30,yes
MFAP3L,-2.870640096,203.0808194,-9.035203945,1.63697E-19,4.77608E-18,30,yes
PACSIN3,-2.864174282,279.6824075,-11.15862844,6.49864E-29,2.57803E-27,30,yes
SLC2A5,-2.860780672,131.3801058,-8.361566916,6.18907E-17,1.63237E-15,30,yes
GDAP1,2.856759436,478.8423529,12.68197674,7.44308E-37,3.50692E-35,30,yes
SELENOP,-2.849578631,2662.655715,-15.36039984,3.01708E-53,2.01494E-51,30,yes
MAP2K6,-2.848647426,101.3041493,-7.30468797,2.77911E-13,6.3488E-12,30,yes
MSI2,-2.845721883,1888.756849,-17.04172284,4.02692E-65,3.22132E-63,30,yes
ENSSSCG00000000021,2.834650687,175.2390478,9.238531977,2.49902E-20,7.54839E-19,30,yes
SEMA6D,2.825496656,263.9772729,11.1145939,1.06534E-28,4.20334E-27,30,yes
TMEM243,2.824798416,4298.367999,21.05452984,2.07835E-98,2.4207E-96,30,yes
CLDN2,-2.818834968,164.6805592,-8.580405704,9.45391E-18,2.57752E-16,30,yes
SNAI1,2.813938503,255.7601851,10.07745455,6.95033E-24,2.3922E-22,30,yes
AKAP7,2.80699464,1017.94042,16.20139804,4.92936E-59,3.5528E-57,30,yes
ETV3,2.803193778,6312.607814,18.47197493,3.47149E-76,3.11984E-74,30,yes
TSPAN5,2.791225397,729.061105,13.9271642,4.33217E-44,2.37113E-42,30,yes
EPB41L2,2.788181421,916.5251881,12.77815652,2.17156E-37,1.03319E-35,30,yes
TLX3,2.782784718,166.633705,8.631407338,6.06016E-18,1.66158E-16,30,yes
KRT14,-2.778111047,6167.411006,-18.84034877,3.52634E-79,3.27007E-77,30,yes
CCDC24,2.776441364,117.5748552,6.914248762,4.70349E-12,1.02206E-10,30,yes
DAGLA,-2.775987964,138.9234209,-7.866523018,3.64634E-15,9.0284E-14,30,yes
FGFBP1,-2.775165761,373.1572264,-11.99869702,3.60934E-33,1.57803E-31,30,yes
PDE12,2.768562485,2679.080066,17.96893542,3.412E-72,2.95686E-70,30,yes
SLC15A3,2.765720453,332.5847346,11.46563511,1.96314E-30,8.07383E-29,30,yes
CFAP74,-2.764218033,185.3689495,-8.913679931,4.93662E-19,1.40926E-17,30,yes
SETX,2.761958873,8951.55582,21.72567872,1.1734E-104,1.4356E-102,30,yes
TAGAP,2.760548693,132.8589822,8.067655362,7.1661E-16,1.81816E-14,30,yes
PHF11,2.756607152,1611.134023,13.38917526,6.99532E-41,3.65035E-39,30,yes
GFRA1,-2.749095228,973.6853701,-15.78530637,3.92738E-56,2.72279E-54,30,yes
NKD2,-2.746728439,127.9823033,-7.073991339,1.5054E-12,3.33593E-11,30,yes
ERC2,2.74055982,402.7826875,12.26027907,1.47989E-34,6.64993E-33,30,yes
ENSSSCG00000006350,2.725786941,211.7808095,9.057438917,1.33549E-19,3.91216E-18,30,yes
ETFRF1,2.720912685,328.7833991,10.88973419,1.29016E-27,4.96917E-26,30,yes
TRIB3,2.715674672,2449.173166,14.69690295,6.74759E-49,4.18035E-47,30,yes
KCNJ5,2.714499699,13461.17653,19.707109,1.8737E-86,1.96253E-84,30,yes
PTGS1,2.714396598,933.52823,13.37220575,8.78952E-41,4.55397E-39,30,yes
CACNA2D3,-2.71374826,120.2110685,-7.463697027,8.41279E-14,1.96285E-12,30,yes
CCR7,2.703145242,369.257998,10.90697012,1.06755E-27,4.13365E-26,30,yes
CEP85,-2.702189116,881.5516289,-13.66908737,1.55331E-42,8.31421E-41,30,yes
CCDC126,2.70000581,3216.783442,14.46816327,1.92545E-47,1.13954E-45,30,yes
ABCA1,2.698218505,2523.308857,18.26168555,1.67054E-74,1.47402E-72,30,yes
ZNF658,2.695746245,597.9964749,12.49314078,8.13765E-36,3.76114E-34,30,yes
INHBB,2.693287811,92.36041118,6.186553633,6.14938E-10,1.19531E-08,30,yes
SYTL1,-2.690216515,74.60970002,-5.63441024,1.75658E-08,3.14565E-07,30,yes
RAB27B,-2.685840844,128.6058393,-7.48736696,7.0269E-14,1.64742E-12,30,yes
RNF24,2.681338772,677.6979196,12.22943522,2.16438E-34,9.66603E-33,30,yes
MAB21L3,2.676489552,5755.838273,19.75286722,7.57903E-87,7.99587E-85,30,yes
ZBTB5,2.675649453,722.2462884,13.77883533,3.41741E-43,1.84959E-41,30,yes
PANX1,2.674955307,1389.835878,16.8026407,2.33417E-63,1.83693E-61,30,yes
LGALS8,2.673750128,4346.080283,19.20121502,3.61535E-82,3.48582E-80,30,yes
ATP10D,2.665258926,727.58851,13.51695939,1.24204E-41,6.57559E-40,30,yes
ANGPTL2,-2.660306076,134.461264,-7.674923948,1.65517E-14,4.00292E-13,30,yes
C8orf4,2.652732222,6508.348911,19.31368214,4.12116E-83,4.05406E-81,30,yes
SHROOM4,2.652098653,2412.064858,17.26872486,8.09105E-67,6.65523E-65,30,yes
DUSP9,-2.648992775,645.6290512,-13.32790224,1.59315E-40,8.22504E-39,30,yes
TREX1,2.645104005,858.3182741,14.65969846,1.1679E-48,7.14434E-47,30,yes
ENSSSCG00000038141,2.637024308,182.43769,8.777608205,1.66988E-18,4.65742E-17,30,yes
STK32B,-2.633966642,135.9086179,-6.929471094,4.22417E-12,9.20654E-11,30,yes
C19orf66,2.630195505,166.2265727,8.437753709,3.23494E-17,8.62592E-16,30,yes
MXD1,2.621782196,2328.760038,17.41312768,6.56001E-68,5.45755E-66,30,yes
FAT4,2.617617199,180.0857446,8.725495115,2.65019E-18,7.34934E-17,30,yes
ELK4,2.61595749,2780.496745,12.75458515,2.93935E-37,1.38942E-35,30,yes
CD99,2.614618714,1707.402292,13.51741141,1.23443E-41,6.55917E-40,30,yes
FAM149A,-2.614028987,1171.687144,-14.08897527,4.43957E-45,2.50526E-43,30,yes
ZFYVE19,2.609830027,770.4120586,13.03275004,7.96831E-39,4.00036E-37,30,yes
RHOBTB1,-2.60827264,526.6648169,-12.18034093,3.95625E-34,1.75607E-32,30,yes
ZCCHC2,2.607370403,1299.440489,15.38225787,2.15307E-53,1.44454E-51,30,yes
KLF15,2.606718451,71.91847666,5.658711118,1.52514E-08,2.73792E-07,30,yes
TAPBP,2.603669594,1059.491387,4.455544119,8.36807E-06,0.000117258,30,yes
ACKR3,-2.601397291,997.3538242,-13.29212999,2.57152E-40,1.31827E-38,30,yes
